2019-08-19 12:38:03,479 [main] INFO  o.a.d.s.b.c.e.WelcomeLogoApplicationListener [WelcomeLogoApplicationListener.java : 63] - 

 :: Dubbo Spring Boot (v2.7.1) : https://github.com/apache/incubator-dubbo-spring-boot-project
 :: Dubbo (v2.7.3) : https://github.com/apache/incubator-dubbo
 :: Discuss group : dev@dubbo.apache.org

2019-08-19 12:38:03,484 [main] INFO  o.a.d.s.b.c.e.OverrideDubboConfigApplicationListener [OverrideDubboConfigApplicationListener.java : 68] - Dubbo Config was overridden by externalized configuration {dubbo.application.name=base-service, dubbo.application.owner=hengzhaoqing, dubbo.application.qos-enable=false, dubbo.config.multiple=true, dubbo.protocol.name=dubbo, dubbo.protocol.port=29106, dubbo.registry.address=zookeeper://localhost:2181, dubbo.registry.check=true, dubbo.registry.group=dubbo-dev, dubbo.registry.simplified=true, dubbo.scan.base-packages=com.hzqing.base.provider}
2019-08-19 12:38:03,583 [main] INFO  c.h.b.p.BaseProviderApplication [StartupInfoLogger.java : 50] - Starting BaseProviderApplication on localhost with PID 5695 (/Users/hzq/workspace/hzq-cloud/HZQ-Cloud/hzq-base-service/base-provider/target/classes started by hzq in /Users/hzq/workspace/hzq-cloud/HZQ-Cloud/hzq-base-service)
2019-08-19 12:38:03,583 [main] INFO  c.h.b.p.BaseProviderApplication [SpringApplication.java : 651] - The following profiles are active: dev
2019-08-19 12:38:03,903 [main] INFO  o.a.d.c.s.c.a.DubboConfigBindingRegistrar [DubboConfigBindingRegistrar.java : 127] - The dubbo config bean definition [name : org.apache.dubbo.config.ApplicationConfig#0, class : org.apache.dubbo.config.ApplicationConfig] has been registered.
2019-08-19 12:38:03,903 [main] INFO  o.a.d.c.s.c.a.DubboConfigBindingRegistrar [DubboConfigBindingRegistrar.java : 151] - The BeanPostProcessor bean definition [org.apache.dubbo.config.spring.beans.factory.annotation.DubboConfigBindingBeanPostProcessor] for dubbo config bean [name : org.apache.dubbo.config.ApplicationConfig#0] has been registered.
2019-08-19 12:38:03,904 [main] INFO  o.a.d.c.s.c.a.DubboConfigBindingRegistrar [DubboConfigBindingRegistrar.java : 127] - The dubbo config bean definition [name : org.apache.dubbo.config.RegistryConfig#0, class : org.apache.dubbo.config.RegistryConfig] has been registered.
2019-08-19 12:38:03,904 [main] INFO  o.a.d.c.s.c.a.DubboConfigBindingRegistrar [DubboConfigBindingRegistrar.java : 151] - The BeanPostProcessor bean definition [org.apache.dubbo.config.spring.beans.factory.annotation.DubboConfigBindingBeanPostProcessor] for dubbo config bean [name : org.apache.dubbo.config.RegistryConfig#0] has been registered.
2019-08-19 12:38:03,904 [main] INFO  o.a.d.c.s.c.a.DubboConfigBindingRegistrar [DubboConfigBindingRegistrar.java : 127] - The dubbo config bean definition [name : org.apache.dubbo.config.ProtocolConfig#0, class : org.apache.dubbo.config.ProtocolConfig] has been registered.
2019-08-19 12:38:03,904 [main] INFO  o.a.d.c.s.c.a.DubboConfigBindingRegistrar [DubboConfigBindingRegistrar.java : 151] - The BeanPostProcessor bean definition [org.apache.dubbo.config.spring.beans.factory.annotation.DubboConfigBindingBeanPostProcessor] for dubbo config bean [name : org.apache.dubbo.config.ProtocolConfig#0] has been registered.
2019-08-19 12:38:03,984 [main] INFO  o.s.c.a.ConfigurationClassPostProcessor [ConfigurationClassPostProcessor.java : 380] - Cannot enhance @Configuration bean definition 'org.apache.dubbo.spring.boot.autoconfigure.DubboRelaxedBinding2AutoConfiguration' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
2019-08-19 12:38:03,984 [main] INFO  o.s.c.a.ConfigurationClassPostProcessor [ConfigurationClassPostProcessor.java : 380] - Cannot enhance @Configuration bean definition 'org.apache.dubbo.spring.boot.autoconfigure.DubboAutoConfiguration' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
2019-08-19 12:38:04,101 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java : 330] - Bean 'relaxedDubboConfigBinder' of type [org.apache.dubbo.spring.boot.autoconfigure.BinderDubboConfigBinder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-19 12:38:04,108 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java : 330] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$afebda8a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-19 12:38:04,138 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java : 330] - Bean 'relaxedDubboConfigBinder' of type [org.apache.dubbo.spring.boot.autoconfigure.BinderDubboConfigBinder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-19 12:38:04,140 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java : 330] - Bean 'relaxedDubboConfigBinder' of type [org.apache.dubbo.spring.boot.autoconfigure.BinderDubboConfigBinder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-19 12:38:04,169 [main] INFO  c.h.b.p.config.MybatisPlusConfig [MybatisPlusConfig.java : 18] - MybatisPlusConfig.paginationInterceptor 加载mybatis 分页插件！
2019-08-19 12:38:04,296 [main] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java : 110] - HikariPool-1 - Starting...
2019-08-19 12:38:04,592 [main] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java : 123] - HikariPool-1 - Start completed.
2019-08-19 12:38:04,941 [main] INFO  o.a.d.c.s.b.f.a.DubboConfigBindingBeanPostProcessor [DubboConfigBindingBeanPostProcessor.java : 109] - The properties of bean [name : org.apache.dubbo.config.ApplicationConfig#0] have been binding by prefix of configuration properties : dubbo.application
2019-08-19 12:38:04,947 [main] INFO  o.a.d.c.s.b.f.a.DubboConfigBindingBeanPostProcessor [DubboConfigBindingBeanPostProcessor.java : 109] - The properties of bean [name : org.apache.dubbo.config.RegistryConfig#0] have been binding by prefix of configuration properties : dubbo.registry
2019-08-19 12:38:04,953 [main] INFO  o.a.d.c.s.b.f.a.DubboConfigBindingBeanPostProcessor [DubboConfigBindingBeanPostProcessor.java : 109] - The properties of bean [name : org.apache.dubbo.config.ProtocolConfig#0] have been binding by prefix of configuration properties : dubbo.protocol
2019-08-19 12:38:05,379 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:zookeeper.version=3.5.4-beta-7f51e5b68cf2f80176ff944a9ebd2abbc65e7327, built on 05/11/2018 16:27 GMT
2019-08-19 12:38:05,379 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:host.name=localhost
2019-08-19 12:38:05,379 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:java.version=11.0.2
2019-08-19 12:38:05,379 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:java.vendor=Oracle Corporation
2019-08-19 12:38:05,380 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:java.home=/Library/Java/JavaVirtualMachines/jdk-11.0.2.jdk/Contents/Home
